id,margin,bush,gore,trash1,trash2,other,hex_color
12067,35.17%, 66.67%, 31.50%,-,-,1.8299999999999983%,aa0450
12069,15.17%, 56.44%, 41.27%,-,-,2.289999999999992%,8f0569
12071,17.67%, 57.57%, 39.90%,-,-,2.530000000000001%,920665
12073,21.69%, 37.88%, 59.57%,-,-,2.549999999999997%,600697
12075,11.51%, 53.91%, 42.40%,-, 2.24%,3.6899999999999977%,89096c
12077,12.45%, 54.65%, 42.20%,-,-,3.1500000000000057%,8b086b
12079,0.37%, 49.29%, 48.92%,-,-,1.789999999999992%,7d047c
12081,7.97%, 52.58%, 44.61%,-, 2.26%,2.8100000000000023%,860771
12083,10.17%, 53.55%, 43.39%,-,-,3.0600000000000023%,88076e
12085,11.85%, 54.78%, 42.93%,-,-,2.289999999999992%,8b056d
12086,6.28%, 46.29%, 52.57%,-,-,1.1400000000000006%,760286
12087,1.25%, 47.39%, 48.64%,-, 3.22%,3.969999999999999%,780a7c
