id,margin,bush,kerry,other3,other2,other1
13093,3.12%, 48.18%, 51.30%,-,-, 0.52%
13095,18.09%, 40.70%, 58.79%,-,-, 0.51%
13097,23.38%, 61.36%, 37.98%,-,-, 0.67%
13099,18.82%, 59.14%, 40.32%,-,-, 0.55%
13101,53.08%, 76.39%, 23.31%,-,-, 0.30%
13103,54.94%, 77.26%, 22.33%,-,-, 0.41%
13105,21.41%, 60.33%, 38.91%,-,-, 0.76%
13107,25.32%, 62.44%, 37.12%,-,-, 0.44%
13109,30.66%, 65.16%, 34.50%,-,-, 0.34%
13111,42.79%, 71.01%, 28.22%,-,-, 0.78%
13113,42.68%, 70.97%, 28.29%,-,-, 0.74%
13115,35.87%, 67.56%, 31.69%,-,-, 0.75%
13117,66.88%, 83.04%, 16.17%,-,-, 0.79%
13119,39.56%, 69.43%, 29.87%,-,-, 0.69%
13121,19.32%, 39.90%, 59.23%,-,-, 0.87%
13123,48.93%, 73.97%, 25.04%,-,-, 0.99%
13125,60.31%, 80.00%, 19.69%,-,-, 0.31%
13127,34.77%, 67.08%, 32.31%,-,-, 0.61%
13129,48.38%, 73.88%, 25.50%,-,-, 0.62%
13131,24.09%, 61.80%, 37.70%,-,-, 0.50%
13133,18.83%, 59.17%, 40.34%,-,-, 0.49%
13135,32.22%, 65.66%, 33.44%,-,-, 0.90%
13137,57.88%, 78.59%, 20.71%,-,-, 0.69%
13139,56.98%, 78.09%, 21.12%,-,-, 0.79%
13141,53.25%, 23.12%, 76.37%,-,-, 0.51%
13143,51.61%, 75.45%, 23.84%,-,-, 0.71%
13145,44.31%, 71.82%, 27.50%,-,-, 0.68%
13147,22.38%, 60.89%, 38.52%,-,-, 0.59%
13149,41.46%, 70.48%, 29.02%,-,-, 0.51%
13151,33.72%, 66.57%, 32.84%,-,-, 0.59%
13153,32.74%, 66.03%, 33.29%,-,-, 0.69%
13155,37.92%, 68.67%, 30.75%,-,-, 0.59%
13157,56.43%, 77.84%, 21.40%,-,-, 0.76%
13159,33.71%, 66.56%, 32.85%,-,-, 0.59%
13161,46.89%, 73.25%, 26.36%,-,-, 0.39%
13163,5.83%, 46.89%, 52.71%,-,-, 0.40%
13165,11.86%, 55.74%, 43.88%,-,-, 0.38%
13167,28.58%, 64.11%, 35.53%,-,-, 0.37%
13169,28.40%, 63.91%, 35.50%,-,-, 0.59%
13171,24.54%, 61.96%, 37.42%,-,-, 0.62%
