id,margin,landon,roosevelt,other,hex_color
13141,78.42%, 10.00%, 88.42%, 1.58%,1904e1
13143,35.11%, 32.28%, 67.39%, 0.33%,5200ab
13145,89.19%, 5.36%, 94.54%, 0.10%,0d00f1
13147,74.21%, 12.75%, 86.96%, 0.29%,2000dd
13149,64.55%, 17.55%, 82.11%, 0.34%,2c00d1
13151,84.08%, 7.83%, 91.90%, 0.27%,1300ea
13153,91.12%, 4.44%, 95.56%,-,0b00f3
13155,80.19%, 9.64%, 89.83%, 0.53%,1801e5
13157,85.67%, 7.09%, 92.76%, 0.15%,1200ec
13159,93.10%, 3.45%, 96.55%,-,0800f6
13161,74.31%, 12.85%, 87.15%,-,2000de
13163,75.46%, 11.85%, 87.31%, 0.85%,1e02de
13165,92.98%, 3.51%, 96.49%,-,0800f6
13167,69.25%, 15.15%, 84.40%, 0.45%,2601d7
13169,91.34%, 4.33%, 95.67%,-,0b00f3
13171,84.71%, 7.59%, 92.30%, 0.11%,1300eb
13173,92.22%, 3.59%, 95.81%, 0.60%,0901f4
13175,79.02%, 10.37%, 89.39%, 0.24%,1a00e3
13177,99.39%,-, 99.59%, 0.41%,0001fd
13179,76.01%, 11.64%, 87.65%, 0.71%,1d01df
13181,71.02%, 13.21%, 84.23%,-,2100d6
