id,margin,reagan,mondale,hall,other,hex_color
12083,39.95%, 69.97%, 30.02%,-,0.01%,b2004c
12085,52.58%, 76.28%, 23.70%,-,0.02%,c2003c
12086,18.34%, 59.17%, 40.83%,-,0.01%,960068
12087,35.49%, 67.73%, 32.24%,-,0.04%,ac0052
12089,39.53%, 69.76%, 30.23%,-,0.01%,b1004d
12091,67.05%, 83.51%, 16.47%,-,0.02%,d40029
12093,33.30%, 66.65%, 33.35%,-,0.0%,a90055
12095,42.88%, 71.39%, 28.51%,-,0.1%,b60048
12097,46.92%, 73.45%, 26.53%,-,0.02%,bb0043
12099,23.35%, 61.67%, 38.32%,-,0.01%,9d0061
12101,23.85%, 61.92%, 38.07%,-,0.01%,9d0061
12103,30.34%, 65.16%, 34.82%,-,0.02%,a60058
12105,40.68%, 70.33%, 29.65%,-,0.02%,b3004b
12107,18.75%, 59.37%, 40.61%,-,0.02%,970067
12109,42.53%, 71.26%, 28.73%,-,0.01%,b50049
12111,36.75%, 68.37%, 31.61%,-,0.02%,ae0050
12113,64.10%, 82.04%, 17.94%,-,0.02%,d1002d
12115,48.36%, 74.15%, 25.79%,-,0.06%,bd0041
12117,51.89%, 75.91%, 24.02%,-,0.07%,c1003d
12119,28.75%, 64.37%, 35.62%,-,0.01%,a4005a
12121,37.14%, 68.57%, 31.43%,-,0.0%,ae0050
12123,39.97%, 69.98%, 30.02%,-,0.0%,b2004c
12125,40.63%, 70.28%, 29.65%,-,0.08%,b3004b
12127,21.87%, 60.93%, 39.06%,-,0.01%,9b0063
12129,35.50%, 67.75%, 32.25%,-,0.0%,ac0052
12131,48.01%, 74.01%, 25.99%,-,0.0%,bc0042
12133,41.26%, 70.62%, 29.36%,-,0.02%,b4004a
13001,19.87%, 59.93%, 40.07%,-,0.0%,980066
13003,2.33%, 51.17%, 48.83%,-,0.0%,82007c
13005,27.55%, 63.77%, 36.23%,-,0.0%,a2005c
13007,1.17%, 49.41%, 50.59%,-,0.0%,7d0081
13009,19.48%, 59.74%, 40.26%,-,0.0%,980066
13011,18.61%, 59.30%, 40.70%,-,0.0%,970067
13013,27.06%, 63.53%, 36.47%,-,0.0%,a2005c
13015,19.56%, 59.78%, 40.22%,-,0.0%,980066
13017,10.88%, 55.44%, 44.56%,-,0.0%,8d0071
