id,margin,dole,clinton,perot,nader,other,hex_color
08095,26.45%, 58.76%, 32.31%, 7.14%,-,8.930000000000007%,951652
08097,28.35%, 28.19%, 56.54%, 7.66%, 5.23%,15.269999999999996%,472690
08099,16.32%, 53.83%, 37.51%, 7.35%,-,8.659999999999997%,89165f
08101,22.64%, 34.60%, 57.24%, 6.71%,-,8.159999999999997%,581491
08103,35.58%, 62.50%, 26.92%, 8.95%,-,10.579999999999998%,9f1a44
08105,9.51%, 49.50%, 39.99%, 8.81%,-,10.509999999999991%,7e1a65
08107,8.18%, 38.52%, 46.70%, 10.96%,-,14.780000000000001%,622577
08109,13.17%, 36.48%, 49.64%, 8.20%, 3.84%,13.879999999999995%,5d237e
08111,5.41%, 41.35%, 35.95%, 13.51%, 5.14%,22.69999999999999%,69395b
08113,27.78%, 28.18%, 55.96%, 8.42%, 4.23%,15.86%,47288e
08115,14.44%, 52.69%, 38.25%, 7.44%,-,9.060000000000002%,861761
08117,8.42%, 38.73%, 47.16%, 9.78%, 2.23%,14.110000000000014%,622378
08119,27.89%, 57.93%, 30.05%, 9.19%,-,12.019999999999996%,931e4c
08121,37.58%, 64.18%, 26.60%, 7.79%,-,9.219999999999999%,a31743
08123,9.73%, 49.67%, 39.94%, 8.14%,-,10.39%,7e1a65
08125,26.08%, 58.72%, 32.64%, 7.24%,-,8.64%,951653
09001,7.87%, 41.06%, 48.93%, 7.76%,-,10.009999999999991%,68197c
09003,25.78%, 31.26%, 57.04%, 9.44%,-,11.700000000000003%,4f1d91
09005,7.04%, 38.88%, 45.92%, 11.85%, 2.58%,15.199999999999989%,632675
09007,20.53%, 31.98%, 52.51%, 12.73%, 2.15%,15.510000000000005%,512785
09009,22.00%, 32.72%, 54.72%, 10.27%,-,12.560000000000002%,53208b
09011,20.70%, 32.05%, 52.74%, 12.53%, 2.00%,15.210000000000008%,512686
09013,18.10%, 33.08%, 51.18%, 12.22%, 2.86%,15.740000000000009%,542882
09015,20.68%, 30.97%, 51.65%, 14.49%, 2.23%,17.379999999999995%,4e2c83
10001,6.10%, 40.59%, 46.69%, 11.99%,-,12.719999999999999%,672077
10003,21.11%, 33.94%, 55.05%, 9.88%,-,11.010000000000005%,561c8c
10005,1.93%, 42.66%, 44.59%, 12.05%,-,12.75%,6c2071
11001,75.85%, 9.34%, 85.19%,-, 2.57%,5.469999999999999%,170dd9
12001,19.92%, 33.97%, 53.90%, 10.83%,-,12.129999999999995%,561e89
12003,21.29%, 55.54%, 34.25%, 10.05%,-,10.210000000000008%,8d1a57
12005,21.85%, 54.87%, 33.02%, 11.46%,-,12.11%,8b1e54
12007,8.28%, 48.97%, 40.69%, 9.93%,-,10.340000000000003%,7c1a67
12009,3.88%, 45.11%, 41.23%, 12.94%,-,13.659999999999997%,732269
12011,35.22%, 28.29%, 63.51%, 7.71%,-,8.200000000000003%,4814a1
12013,1.85%, 41.29%, 43.15%, 15.15%,-,15.560000000000002%,69276e
12015,1.15%, 44.18%, 43.03%, 12.35%,-,12.789999999999992%,70206d
12017,3.87%, 40.57%, 44.44%, 14.61%,-,14.990000000000009%,672671
12019,36.34%, 64.49%, 28.16%, 6.97%,-,7.3500000000000085%,a41247
12021,26.76%, 58.74%, 31.97%, 8.72%,-,9.289999999999992%,951751
