id,margin,harding,cox,other,other2,hex_color
13123,9.60%, 54.80%, 45.20%,0.0%,-,8b0073
13125,47.30%, 26.35%, 73.65%,0.0%,-,4300bb
13127,52.35%, 23.83%, 76.17%,0.0%,-,3c00c2
13129,13.15%, 56.58%, 43.42%,0.0%,-,90006e
13131,58.53%, 20.73%, 79.27%,0.0%,-,3400ca
13133,58.56%, 20.72%, 79.28%,0.0%,-,3400ca
13135,18.13%, 40.93%, 59.07%,0.0%,-,680096
13137,10.89%, 55.45%, 44.55%,0.0%,-,8d0071
13139,26.77%, 36.61%, 63.39%,0.0%,-,5d00a1
13141,80.76%, 9.62%, 90.38%,0.0%,-,1800e6
