statecounty,margin,bush,clinton,perot
13233,6.69%, 38.98%, 45.67%, 14.98%
13235,19.73%, 31.15%, 50.88%, 17.79%
13237,8.37%, 37.41%, 45.78%, 16.51%
13239,25.92%, 30.80%, 56.72%, 12.26%
13241,0.52%, 41.15%, 40.63%, 17.85%
13243,29.37%, 29.98%, 59.34%, 10.65%
13245,7.87%, 40.70%, 48.57%, 10.57%
13247,21.78%, 52.64%, 30.86%, 16.15%
13249,6.94%, 39.43%, 46.37%, 13.89%
13251,5.38%, 39.05%, 44.43%, 16.24%
13253,13.62%, 33.74%, 47.36%, 18.58%
13255,5.53%, 46.15%, 40.63%, 12.99%
13257,12.61%, 47.65%, 35.04%, 17.05%
13259,12.17%, 40.77%, 52.94%, 6.02%
13261,9.52%, 39.44%, 48.96%, 11.41%
13263,40.90%, 25.02%, 65.92%, 8.87%
13265,43.94%, 24.32%, 68.26%, 7.23%
13267,3.47%, 43.18%, 39.72%, 16.76%
13269,14.97%, 37.53%, 52.51%, 9.78%
13271,21.80%, 31.58%, 53.39%, 14.62%
13273,23.00%, 32.90%, 55.90%, 11.05%
13275,5.52%, 46.03%, 40.52%, 13.32%
13277,5.80%, 46.87%, 41.07%, 11.90%
13279,12.83%, 48.18%, 35.35%, 16.15%
13281,5.05%, 45.19%, 40.15%, 14.50%
13283,9.30%, 38.31%, 47.61%, 13.57%
13285,10.01%, 47.64%, 37.63%, 14.60%
13287,24.24%, 30.95%, 55.19%, 12.24%
13289,36.67%, 25.15%, 61.82%, 12.74%
13291,4.05%, 44.78%, 40.74%, 14.21%
13293,3.48%, 45.03%, 41.55%, 13.18%
13295,12.99%, 48.54%, 35.55%, 15.71%
13297,6.44%, 45.35%, 38.91%, 15.52%
13299,0.00%, 43.87%, 43.87%, 12.12%
13301,22.44%, 34.53%, 56.97%, 8.28%
13303,16.71%, 35.45%, 52.16%, 12.19%
13305,4.36%, 44.77%, 40.41%, 14.66%
13307,43.03%, 22.83%, 65.86%, 11.31%
13309,16.42%, 35.37%, 51.80%, 12.60%
13311,13.79%, 47.37%, 33.58%, 18.76%
13313,20.99%, 53.97%, 32.98%, 12.89%
13315,16.49%, 33.64%, 50.13%, 15.90%
13317,10.60%, 38.74%, 49.34%, 11.71%
13319,25.88%, 30.26%, 56.14%, 12.77%
13321,4.01%, 40.16%, 44.17%, 15.50%
15001,20.16%, 30.36%, 50.52%, 17.46%
15003,7.51%, 39.10%, 46.61%, 13.44%
15005,0%,-,-,-
15007,23.22%, 32.80%, 56.02%, 9.18%
